page,priority,content
0,1.0,"IMPACT  . Report. 2020"
1,0.29411764705882354,"Sustainability ................................................... 3"
1,0.23529411764705885,"Covid-19 .......................................................... 6"
1,0.17647058823529413,"Materiality ....................................................... 8"
1,0.5294117647058824,"Governance .................................................. 10"
1,0.11764705882352942,"Safety ............................................................ 13"
1,0.8823529411764706,"Product quality, safety and transparency ..... 14"
1,0.7058823529411765,"Packaging and waste .................................... 16"
1,0.05882352941176471,"Water ............................................................. 18"
1,0.7647058823529411,"Energy and emissions ...................................20"
1,0.4705882352941177,"Biodiversity ...................................................22"
1,0.823529411764706,"Natural and renewable ingredients .............. 24"
1,0.9411764705882354,"Responsible and  . sustainable procurement .............................25"
1,0.5882352941176471,"Employees ....................................................27"
1,0.411764705882353,"Diversity ........................................................29"
1,0.35294117647058826,"Resellers ....................................................... 31"
1,0.6470588235294117,"Assurance report ..........................................33"
1,1.0,"Summary"
2,0.2,"Sustainability"
2,0.1,""
2,0.5,"From a broad-based perspective of . our entire value chain, we monitor . trends, risks and opportunities to . enhance our capacity to generate and . share value in the short, medium and . long-terms, integrating environmental, . social and governance (ESG) factors . into all company decision making."
2,0.9,"ESG focus"
2,0.8,"In senior management, ESG aspects . are monitored by the Sustainability . and Diversity Executive Committee . (see page 29), which reports to the . Advisory Board and defines and . tracks the strategy to integrate ESG . aspects into the group’s business . model."
2,0.4,"In addition to being incorporated into . business planning, dynamics and . relations, the ESG approach is also . integrated into senior management . incentive strategies. A part of the . variable remuneration of managers . and vice presidents is linked to the . achievement of sustainability targets.. Executives in all areas are committed . to the target of increasing the percen-. tage of packaging reclaimed through"
2,0.7,"reverse logistics, connected with the . group’s commitment to a solution . for the solid waste it generates (see . page 16). There are also specific . targets per area, such as the adoption . of innovations that drive a positive . socioenvironmental effect in the . Technology area, or the gover-. nance of our ESG commitment in the . Transformation and Organizational . Human Development area."
2,1.0,"Sustainability for the  . Boticário Group. I"
2,0.6,"n the Boticário Group our purpose is to ensure beauty . transforms people’s lives and, by extension, the world . around us. We know that our place in society and, on . a broader level, in the world, goes beyond business . relations. We take our impacts on the social, environ-. mental and economic dimensions into consideration . and understand our responsibility as agents of change, . consolidating the tomorrow we believe in through the . decisions we take today."
2,0.3,"3"
3,1.0,"WHO WE ARE"
3,0.9354838709677419,"more than  . 12,000 . employees"
3,0.8387096774193549,"2  . plants   . (São José dos . Pinhais, PR, e . Camaçari, BA). Nationwide   . presence in . Brazil (multichannel . strategy: stores, direct . sales, drugstores, perfume . outlets, department stores . and e-commerce). 6  . distribution . centers  . (São Paulo, Paraná,  . Bahia, Espírito . Santo e Minas . Gerais)"
3,0.06451612903225806,"Plants.  Distribution . centers"
3,0.8709677419354839,"Operation"
3,0.4838709677419355,"Mooz: offers financial  . services and digital . solutions for the business"
3,0.7419354838709676,"Social and  . environmental . activities Instituto . Grupo Boticário and . Fundação Grupo Boticário"
3,0.8064516129032258,"4,000  . stores . in 1,780 . municipalities"
3,0.903225806451613,"Commitments for the future"
