page,priority,content
0,1,IMPACT  . Report. 2020
1,0.294117647,Sustainability ................................................... 3
1,0.235294118,Covid-19 .......................................................... 6
1,0.176470588,Materiality ....................................................... 8
1,0.529411765,Governance .................................................. 10
1,0.117647059,Safety ............................................................ 13
1,0.882352941,"Product quality, safety and transparency ..... 14"
1,0.705882353,Packaging and waste .................................... 16
1,0.058823529,Water ............................................................. 18
1,0.764705882,Energy and emissions ...................................20
1,0.470588235,Biodiversity ...................................................22
1,0.823529412,Natural and renewable ingredients .............. 24
1,0.941176471,Responsible and  . sustainable procurement .............................25
1,0.588235294,Employees ....................................................27
1,0.411764706,Diversity ........................................................29
1,0.352941176,Resellers ....................................................... 31
1,0.647058824,Assurance report ..........................................33
1,1,Summary
2,0.2,Sustainability
2,0.1,
2,0.5,"From a broad-based perspective of . our entire value chain, we monitor . trends, risks and opportunities to . enhance our capacity to generate and . share value in the short, medium and . long-terms, integrating environmental, . social and governance (ESG) factors . into all company decision making."
2,0.9,ESG focus
2,0.8,"In senior management, ESG aspects . are monitored by the Sustainability . and Diversity Executive Committee . (see page 29), which reports to the . Advisory Board and defines and . tracks the strategy to integrate ESG . aspects into the group’s business . model."
2,0.4,"In addition to being incorporated into . business planning, dynamics and . relations, the ESG approach is also . integrated into senior management . incentive strategies. A part of the . variable remuneration of managers . and vice presidents is linked to the . achievement of sustainability targets.. Executives in all areas are committed . to the target of increasing the percen-. tage of packaging reclaimed through"
2,0.7,"reverse logistics, connected with the . group’s commitment to a solution . for the solid waste it generates (see . page 16). There are also specific . targets per area, such as the adoption . of innovations that drive a positive . socioenvironmental effect in the . Technology area, or the gover-. nance of our ESG commitment in the . Transformation and Organizational . Human Development area."
2,1,Sustainability for the  . Boticário Group. I
2,0.6,"n the Boticário Group our purpose is to ensure beauty . transforms people’s lives and, by extension, the world . around us. We know that our place in society and, on . a broader level, in the world, goes beyond business . relations. We take our impacts on the social, environ-. mental and economic dimensions into consideration . and understand our responsibility as agents of change, . consolidating the tomorrow we believe in through the . decisions we take today."
2,0.3,3
3,1,WHO WE ARE
3,0.935483871,"more than  . 12,000 . employees"
3,0.838709677,"2  . plants   . (São José dos . Pinhais, PR, e . Camaçari, BA). Nationwide   . presence in . Brazil (multichannel . strategy: stores, direct . sales, drugstores, perfume . outlets, department stores . and e-commerce). 6  . distribution . centers  . (São Paulo, Paraná,  . Bahia, Espírito . Santo e Minas . Gerais)"
3,0.064516129,Plants.  Distribution . centers
3,0.870967742,Operation
3,0.483870968,Mooz: offers financial  . services and digital . solutions for the business
3,0.741935484,Social and  . environmental . activities Instituto . Grupo Boticário and . Fundação Grupo Boticário
3,0.806451613,"4,000  . stores . in 1,780 . municipalities"
3,0.903225806,Commitments for the future
3,0.35483871,"Aware of our responsibilities and the potential reach of our relationship . network, we have assumed two inspirational goals and 14 strategic . ones, totaling 16 Commitments for the Future. Aligned with the United . Nations Organization’s Sustainable Development Goals (SDGs), these . should be achieved by 2030 and touch on key dimensions of our pro-. duction process, the entire value chain and the relations we have esta-. blished with the environment, with society and with people."
3,0.258064516,#01 Map and find a solution . for 150% of all the solid waste . generated by our chain
3,0.516129032,#02 Reduce social inequality for 1 . million Brazilians by transforming . the reality of waste management in . Brazil
3,0.193548387,#03 Neutralizing GHG emissions . and using 100% renewable . electricity for direct operation and . reset the industrial water balance
3,0.419354839,"#04 Reducing the consumption of . non-renewable energy, the volume . of water extracted and the volume . of GHG emissions from our critical . suppliers by 50%"
3,0.129032258,#05 Guarantee lower water impact . in 100% of our critical product lines.
3,0.387096774,#06 Use 100% raw materials from . renewable sources or from lower . impact alternative sources
3,0.451612903,"#07 Investing around R$6 million . (BRL) in the conversion of natural . capital, critical for business . continuity"
3,0.161290323,"#08 Promote the conservation of . biodiversity, directly or indirectly, in . 3.5 million hectares of land"
3,0.580645161,#09 Ensuring the traceability and . sustainable origin of 100% of critical . raw materials
3,0.290322581,"#10 Communicating the social and . environmental footprint of 100% . of our products in a transparent . way, creating tools for consumers’ . awareness so that they will act . to reduce the impact of their . consumption and disposal decisions"
3,0.677419355,# 11 Guarantee the representation . of minority groups in leadership . positions
3,0.709677419,#12 Develop 100% of our products . with the participation of minority . groups
3,0.612903226,#13 Guarantee that our . communication represents the . Brazilian population
3,0.322580645,"#14 Offer an inclusive and diverse . product portfolio, taking different . lifestyles into account"
3,0.225806452,#15 Measure and ensure an . increase in quality of life for resellers
3,0.64516129,#16 Ensure the progressive . increase in affirmative purchases to . stimulate enterprise among minority . groups
3,0.032258065,Sustainability
3,0.548387097,For further information consult:  . https://umabelezadefuturo.com.br/en/home-en/
3,0.967741935,International  . presence in  . 15 countries
3,0.774193548,"more . than   . 33,000 . indirect jobs generated in . the franchise network"
3,0.096774194,4
4,0.083333333,
4,0.416666667,"Innovation and a pioneering stance . have characterized the company . since its creation over 40 years ago. . They are part of our constant pursuit . of solutions for the most diverse . challenges, such as enhancing the . customer experience, streamlining . internal processes, reducing envi-. ronmental impacts, raising funds . or driving product evolution. The . application of new technologies . is perhaps the most visible part of . innovation, but it is just one of the . diverse resources we employ to . think about the world, our relations . and our deliveries."
4,0.333333333,"We work with an open innovation . model and are part of a co-crea-. tion ecosystem, collaborating with . partners in Brazil and abroad, such . as universities – Federal University . of Paraná (UFPR), University of São . Paulo (USP), Federal University . of Santa Catarina (UFSC), . Paris XI, University of California"
4,0.916666667,Innovation
4,0.833333333,"In 2020, around one third . of the group’s net revenue . came from innovation . products."
4,0.583333333,"In 2020, we launched our . first sustainable store in São . Paulo’s Ibirapuera Park. The . store’s flooring, walls and . roof are made from the post-. consumer recycled plastic . that the company receives . from its reverse logistics . initiatives. Instead of being . treated as waste, the plastic . is used as raw material for . the point of sale structure. . Eight sustainable units were . inaugurated during the . course of the year; another . three were opened in the first . months of 2021 and others . are being planned. The . initiative is part of the group’s . efforts to systematically . reduce environmental . impacts, such as the use . of lower consumption LED . lighting, reduced printed . material and the use of . certified timber."
4,1,Market  . confidence
4,0.75,"O Grupo Boticário foi pioneiro . no Brasil ao emitir o chamado . sustainability-linked bond . (título de dívida sustentável . ou SLB) vinculado a metas de . sustentabilidade no mercado . local, no valor de R$ 1 bilhão. . Até 2025, a empresa se . compromete a migrar para . fontes renováveis todo o . consumo de energia elétrica . das fábricas e centros de . distribuição e a reciclar, reutilizar . ou coprocessar 100% dos . resíduos gerados nos processos . produtivos. Diferentemente . dos green bonds, cujos valores . são destinados a um projeto . específico, os SLBs vão para o . caixa da empresa. As taxas de . juros caem 10 pontos-base a . cada ano conforme a evolução . no cumprimento da meta, . em avaliação realizada por . instituição independente."
4,0.166666667,Sustainability
4,0.666666667,"(UCSF), Massachusetts Institute . of Technology (MIT), University . of Berkeley, Federal University of . Goiás (UFG), Federal Technological . University of Paraná (UTFPR) – . with companies and science and . technology institutes  – Empresa . Brasileira de Pesquisa Agropecuária . (Embrapa), Cesar School, Instituto . Euvaldo Lodi (IEL), Instituto de . Pesquisas Tecnológicas (IPT), . Laboratório Nacional de Biociência . (LNBio), Instituto Senai de Inovação– . and diverse strategic partners, such . as Aptar, Provital, IFF, Symrise and . Basf."
4,0.5,"By means of our start-up accelerator, . GB Venture, we foster new solutions . for the beauty sector focused on . beautytech (skin care, customizable . products, sustainable packaging); . retailtech (sales channels, credit pro-. cesses, anti-fraud); and trendsetter . (disruptive approaches)."
4,0.25,5
5,0.333333333,"From the beginning of the new coro-. navirus pandemic, the Boticário . Group mobilized to support vulne-. rable populations and healthcare . workers from the North to the South of . the country. In March 2020, we laun-. ched the #maisjuntosdoquenunca . (#moretogetherthanever) movement . and since then have donated 216 . tons of hand sanitizer to 30 cities in . 22 states (data from April 2021). The . beneficiaries include disadvantaged . communities, refugees, philanthropic"
5,1,Combating   . Covid-19
5,0.222222222,Covid-19
5,0.888888889,#maisjuntosdoquenunca
