page,priority,content
0,0.16666666666666669,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T"
0,0.33333333333333337,"1"
0,0.5,"2 0 1 8"
0,0.8333333333333333,"S O C I A L  I M P A C T  R E P O R T"
0,1.0,"I N S P I R I N G. H U M A N I T Y"
0,0.6666666666666667,"2 0 1 9"
1,0.48148148148148145,""
1,0.7777777777777777,""
1,0.4444444444444444,""
1,0.5555555555555556,""
1,0.5555555555555556,""
1,0.5555555555555556,""
1,0.037037037037037035,""
1,0.07407407407407407,"3"
1,0.4074074074074074,"2 0 1 8  +  2 0 1 9. J E T B L U E  S O C I A L  I M P A C T  R E P O R T"
1,0.6666666666666667,"A T  A  G L A N C E"
1,0.7037037037037037,"Long Island City, NY"
1,0.2962962962962963,"MAIN SUPPORT CENTER"
1,0.8148148148148148,"$7.7B"
1,0.2222222222222222,"2018 REVENUES"
1,0.8888888888888888,"22K+"
1,0.3703703703703704,"CREWMEMBERS"
1,0.9259259259259259,"42M"
1,0.33333333333333337,"CUSTOMERS ANNUALLY"
1,0.7407407407407408,"1,000+"
1,0.14814814814814814,"DAILY FLIGHTS"
1,0.6296296296296297,"6th"
1,0.1111111111111111,"LARGEST AIRLINE IN U.S."
1,0.8518518518518519,"~100"
1,0.1851851851851852,"BLUECITIES"
1,0.9629629629629629,"1M+"
1,0.2592592592592593,"VOLUNTEER HOURS SINCE 2011"
1,1.0,"2 3"
2,0.7213114754098361,""
2,0.1885245901639344,""
2,0.09016393442622951,""
2,0.09016393442622951,""
2,0.1885245901639344,""
2,0.09016393442622951,""
2,0.2459016393442623,""
2,0.1885245901639344,""
2,0.1885245901639344,""
2,0.1885245901639344,""
2,0.09016393442622951,""
2,0.1885245901639344,""
2,0.01639344262295082,""
2,0.6065573770491803,""
2,1.0,""
2,0.13114754098360656,""
2,0.6229508196721312,""
2,0.27868852459016397,"5"
2,0.26229508196721313,"2 0 1 8  +  2 0 1 9"
2,0.6885245901639344,"About This Report"
2,0.4098360655737705,"This report focuses on our 2018-2019 social impact,"
2,0.5081967213114754,"both within our communities and within our company,"
2,0.32786885245901637,"and is intended for a wide array of audiences."
2,0.5737704918032787,"It complements our annual Environmental Social"
2,0.47540983606557374,"Governance (ESG) Report, which is aimed primarily"
2,0.39344262295081966,"at the investor community."
2,0.3114754098360656,"This report references the Global Reporting Initiative"
2,0.3770491803278688,"(GRI) Standards. GRI is the most widely adopted voluntary"
2,0.36065573770491804,"corporate responsibility reporting framework in the world."
2,0.4426229508196721,"Our GRI Standards Index references GRI indicators"
2,0.29508196721311475,"that are fulfilled entirely or partially by the information in"
2,0.3442622950819672,"this report and documents and website links cited within it."
2,0.8934426229508197,"1"
2,0.8688524590163935,"3"
2,0.9344262295081966,"5"
2,0.6721311475409836,"REMARKS"
2,0.04918032786885246,"J E T B L  U E  S O  C I A"
2,0.9672131147540983,"THE REPOR      T . FLIGHT PLAN"
2,0.7704918032786885,"From The Flight Deck: . Executive Letter"
2,0.4590163934426229,"Pages 8 - 9"
2,0.7540983606557377,"JetBlue For Good: . It’s In Our DNA"
2,0.5327868852459017,"Pages 18 - 69"
2,0.8360655737704918,"Our Compass: . Governance and Ethics"
2,0.5327868852459017,"Pages 94 - 99"
2,0.03278688524590164,"L  I M P  A  C  T  R E P  O R  T"
2,0.7049180327868853,"SOCIAL IMPACT REPORT  TIME STARTED"
2,0.5901639344262295,"PILOT BRIEFING"
2,0.7377049180327869,"VNR . SPECIALIST INITIALS"
2,0.6557377049180327,"STOPOVER"
2,0.8934426229508197,"2"
2,0.7868852459016393,"Gaining Altitude . Since 1998"
2,0.42622950819672134,"Pages 10 - 17"
2,0.9344262295081966,"4"
2,0.8032786885245902,"Crewmembers’ . Sky-High Potential"
2,0.5573770491803279,"Pages 70 - 93"
2,0.9344262295081966,"6"
2,0.8524590163934427,"The Reporting . Index"
2,0.4918032786885246,"Pages 100 - 115"
2,0.639344262295082,"ESTIMATED READING TIME"
2,0.819672131147541,"HOURS  MINUTES"
2,0.9836065573770492,"4  5"
3,0.8571428571428571,""
3,0.14285714285714288,"7"
3,0.28571428571428575,"2 0 1 8  +  2 0 1 9. J E T B L U E  S O C I A L  I M P A C T  R E P O R T"
3,1.0,"1"
3,0.7142857142857143,"F R O M  T H E  . FLIGHT . DECK"
3,0.42857142857142855,"Executive Letter"
3,0.5714285714285715,"6 7"
4,1.0,".   .   .  ."
4,0.08955223880597014,""
4,0.26119402985074625,""
4,0.26119402985074625,""
4,0.05970149253731344,""
4,0.31343283582089554,""
4,0.31343283582089554,""
4,0.31343283582089554,""
4,0.31343283582089554,""
4,0.31343283582089554,""
4,0.23880597014925375,""
4,0.16417910447761194,""
4,0.16417910447761194,""
4,0.16417910447761194,""
4,0.16417910447761194,""
4,0.0746268656716418,""
4,0.16417910447761194,""
4,0.955223880597015,""
4,0.0373134328358209,""
4,0.9402985074626865,""
4,0.9701492537313433,""
4,0.16417910447761194,""
4,0.9850746268656717,""
4,0.16417910447761194,""
4,0.16417910447761194,""
4,0.0373134328358209,""
4,0.16417910447761194,""
4,0.01492537313432836,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T"
4,0.373134328358209,"8"
4,0.9253731343283582,"WE’RE A DIFFERENT . KIND OF AIRLINE. . WE DON’T JUST . PROVIDE A SERVICE -. WE SERVE, . WE GIVE BACK."
4,0.3880597014925373,"2 0 1 8  +  2 0 1 9"
4,0.6716417910447761,"Dear Friends,"
4,0.5522388059701493,"We’re currently in an unprecedented time for our industry and world. While this report highlights JetBlue’s social"
4,0.6119402985074627,"impact work in 2018-2019, the coronavirus pandemic is top of mind for many of us right now. Indeed, its influence"
4,0.40298507462686567,"will be felt for years to come."
4,0.5671641791044776,"This challenge has called for our airline to draw upon the strengths that make us who we truly are. During this time"
4,0.4776119402985075,"of uncertainty, JetBlue brought our mission of Inspiring Humanity to life, including providing free flights for medical"
4,0.5074626865671642,"professionals to areas in need, flying personal protective equipment to New York City and delivering critical supplies"
4,0.5223880597014925,"to our health care heroes."
4,0.746268656716418,"Thank you to our 22,000+ crewmembers who continued to get travelers for whom travel was a necessity to their"
4,0.582089552238806,"destinations safely. We don’t take this responsibility lightly and couldn’t be prouder of our crewmembers, partners"
4,0.7014925373134328,"and community for their collaboration. More details on our coronavirus pandemic response will be shared next"
4,0.5373134328358209,"year. In the meantime, we’d like to bring your attention to JetBlue’s social impact in 2018-2019."
4,0.8656716417910448,"A Look Back at 2018-2019:"
4,0.7164179104477612,"Over the past nine years, our crewmembers volunteered more than 1 million hours of caring in their communities."
4,0.6417910447761195,"Doing good is in our DNA, and our culture of service is what makes JetBlue, well…JetBlue. We’re pleased to share"
4,0.8059701492537313,"our 2018-2019 Social Impact Report– a complement to our 2019 Environmental Social Governance Report. This"
4,0.7313432835820897,"report looks at the many ways we’ve worked hard to become the airline of choice for customers and the employer"
