page,priority,content
0,1.0,"Sustainability Report"
0,0.5,"2018, Royal Dutch Shell plc"
1,0.75,"1"
1,0.4375,"INTRODUCTION. 04. About this report. 08. Our business strategy. 10. Our approach to sustainability"
1,0.875,"2"
1,0.625,"RESPONSIBLE BUSINESS. 20. Human rights. 22. Safety. 27. Environment"
1,0.9375,"3"
1,0.3125,"SUSTAINABLE ENERGY FUTURE. 44. Climate change and energy transition. 46. Net Carbon Footprint. 47. Managing greenhouse gas emissions. 52. Lower-carbon energy. 62. Developing technology"
1,1.0,"4"
1,0.375,"CONTRIBUTION TO SOCIETY. 64. Working for Shell. 66. Revenue transparency and tax. 67. Social performance. 71. Working together"
1,0.8125,"5"
1,0.5625,"OUR PERFORMANCE DATA. 80. About our data. 81. Environmental data. 82. Safety data. 82. Social data"
1,0.5,"SPECIAL REPORTS. 15. Innovating for India's energy. needs. 31. Producing shale oil and gas. responsibly. 38. Economic development in. Nigeria. 41. Spill response and prevention in. Nigeria. 54. Delivering natural gas in Canada. 73. Working for solutions in. Groningen"
1,0.6875,"Contents"
1,0.1875,"Digital. The Sustainability Report is published in an online. version at reports.shell.com. The online version includes. additional information, such as an interactive GRI index. to enhance usability for the reader. In the event of any. discrepancy between the online and hardcopy versions,. the information contained in the online report prevails.. This hardcopy version is provided for the reader’s. convenience only."
1,0.125,"Scenarios. This report contains data and analyses from Shell’s new. Sky Scenario. Unlike Shell’s previously published. Mountains and Oceans exploratory scenarios, the Sky. Scenario is based on the assumption that society. reaches the Paris Agreement’s goal of holding the rise in. global average temperatures this century to well below. two degrees Celsius (2°C) above pre-industrial levels.. Unlike Shell’s Mountains and Oceans scenarios which. unfolded in an open-ended way based upon plausible. assumptions and quantifications, the Sky Scenario was. specifically designed to reach the Paris Agreement’s. goal in a technically possible manner. These scenarios. are a part of an ongoing process used in Shell for over. 40 years to challenge executives’ perspectives on the. future business environment. They are designed to. stretch management to consider even events that may. only be remotely possible. Scenarios, therefore, are not. intended to be predictions of likely future events or"
1,0.25,"outcomes and investors should not rely on them when. making an investment decision with regard to Royal. Dutch Shell plc securities."
1,0.0625,"Additionally, it is important to note that Shell’s existing. portfolio has been decades in development. While we. believe our portfolio is resilient under a wide range of. outlooks, including the IEA’s 450 scenario (World Energy. Outlook 2016), it includes assets across a spectrum of. energy intensities including some with above-average. intensity. While we seek to enhance our operations’. average energy intensity through both the development. of new projects and divestments, we have no immediate. plans to move to a net-zero emissions portfolio over our. investment horizon of 10-20 years. Although we have no. immediate plans to move to a net-zero emissions portfolio,. in November of 2017, we announced our ambition to. reduce our Net Carbon Footprint in accordance with. society’s implementation of the Paris Agreement’s goal of. holding global average temperature to well below 2°C. above pre industrial levels. Accordingly, assuming society. aligns itself with the Paris Agreement’s goals, we aim to. reduce our Net Carbon Footprint, which includes not only. our direct and indirect carbon emissions, associated with. producing the energy products which we sell, but also our. customers’ emissions from their use of the energy products. that we sell, by around 20% in 2035 and by around 50%. in 2050."
2,0.41666666666666663,"Welcome to Shell's Sustainability Report for 2018."
2,0.9166666666666667,"In my five years in this role I have worked to drive change. for Shell and the industry as a whole. Change that puts. us in a strong position to help society meet increasing. energy demand while providing products with a lower. carbon footprint."
2,0.25,"Yet one area remains consistently essential to the way. Shell does business. That is sustainability. We continue to. put three things at the heart of our approach."
2,0.5,"First, we aim to run a safe, responsible and profitable. business. That means getting the basics right. One basic. is doing no harm. For our industry, that means operating. safely without hurting people or the environment.. However, in 2018, there were two fatalities at Shell. locations – one person died at a refinery in Germany. and another at an onshore well in the USA. Every life lost. is unacceptable. We must all work safely. In Nigeria, for. example, a country that presents complex operating. challenges, Shell companies there have sometimes. struggled. In Groningen, in the Netherlands, we continue. to work with others, including the government, to help. people affected by earthquakes linked to our gas. production activities. When we do not live up to the. standards society expects, we must learn and repair any. related damage."
2,0.5833333333333334,"We have also reflected deeply on the terrible road. tanker incident in Pakistan in 2017. The tragedy, which. was outside the scope of Shell’s operational control,. underscored the need to consider how we can. encourage effective health and safety standards in. operations not under our control. Shell Pakistan Limited is. currently contributing to long-term relief efforts for the. families affected. Sadly, in October 2018 there was. another roll-over incident in Pakistan involving a customer. tanker, which resulted in the death of the relief driver and. a spill. Events like these are a stark reminder that we must. never forget the role that safety plays in our lives. every day."
2,0.33333333333333337,"Second, to deliver energy products that people need. and want – and do this responsibly to help shape a more. sustainable energy future. People rely on the energy we. produce to live their lives, in their homes and businesses,. and for transport. We must be responsible stewards for. these energy products. This means taking action on the. greenhouse gas emissions associated with our energy. products. Only by making relevant products responsibly. can we be in business sustainably."
2,0.75,"Third, to make a positive contribution to society. This. means paying taxes, boosting local economies and. developing talent, as well as investing in education to. inspire new generations of people with innovative ideas.. It is an effort that also includes helping to achieve. universal access to clean, affordable energy, one of the. UN’s 17 sustainable development goals. Part of this effort. is the ambition we announced in 2018: to provide a. reliable electricity supply to 100 million people in the. developing world by 2030. We continue to work on. developing a longer-term strategy to achieve. this ambition."
2,0.16666666666666669,"This approach to sustainability provides the deep. foundations we need to support our business strategy: to. become – and remain – a world-class investment, to. thrive through the transition to lower-carbon energy and. to maintain a strong societal licence to operate."
2,0.8333333333333333,"The 2018 Sustainability Report, our 22nd such report,. shows real action in the three parts of our approach to. sustainability. It also includes details of our social, safety. and environmental performance in 2018. Once again, I. am grateful for the valuable input of the independent. Report Review Panel, who help us provide more. balanced, relevant and responsive reporting. As a. founding member of the UN Global Compact, we also. continue to support its corporate governance principles. on human rights, environmental protection, anti-corruption. and better labour practices."
2,0.6666666666666667,"This report shows much progress. But I believe we can do. better. We must do the right thing on climate change,. which means helping to reduce the environmental impact. that comes with making our energy products."
2,1.0,"Letter from the. CEO"
2,0.08333333333333334,"01 LETTER FROM THE CEO. SHELL SUSTAINABILITY REPORT 2018"
3,0.33333333333333337,"If society is to meet the aims of the Paris Agreement, there. is a lot of work to do to cut global greenhouse gas. emissions while meeting rising demand for energy."
3,0.2222222222222222,"Shell’s ambition is to reduce the Net Carbon Footprint of. the energy products we sell by around half by the middle. of the century in step with society as it moves towards. meeting the aims of Paris. We were the first international. oil and gas company to set an ambition using a measure. which includes our customers' emissions when they use. the energy products we sell, as well as emissions from our. operations and supply chains that bring these products to. market. This also includes those emissions generated by. third parties who supply energy and finished products to. us. In 2018, we also announced we would set short-term. Net Carbon Footprint targets. We linked a Net Carbon. Footprint target and other measures to our executive. remuneration starting in 2019, one year earlier than. planned. To achieve our 2050 ambition, we will adapt. and evolve over time the range of products we offer in. line with our customers’ needs, increase the lower and. zero emission energy products we offer, including natural. gas, biofuels and renewable power."
3,1.0,"We will also be working increasingly with nature, such as. forests and wetlands, and progressing carbon capture. and storage to create sinks for those emissions that are. hard to avoid."
