page,priority,content
0,1.0,"Green Finance . Investor Report 2021"
0,0.5,"1"
1,0.9375,"Contents"
1,0.625,"Executive Summary  3"
1,0.8125,"Foreword  4"
1,0.375,"We Invest in Transformation  6"
1,0.3125,"Changing Lanes - SpurWechsel   9"
1,0.53125,"Allocation Report  11"
1,0.53125,"Financed Projects  13"
1,0.4375,"The Mercedes-Benz EQS  14"
1,0.25,"The Mercedes-Benz EQA and EQB  19"
1,0.125,"Mercedes-Benz Energy Storage Factory 56  23"
1,0.6875,"Impact Report  24"
1,0.1875,"Sustainability Ratings and Rankings  25"
1,0.875,"Imprint  26"
1,0.75,"14"
1,1.0,"19 23"
1,0.0625,"DAIMLER GREEN FINANCE INVESTOR REPORT 2021 2"
2,0.6071428571428572,"Daimler AG issued its first green bonds under its Green Finance Framework . in September 2020 and March 2021, respectively. The bonds generated total . net proceeds of nearly EUR 2 billion, which are fully allocated to projects that"
2,0.6428571428571429,"directly pave the way to a low-carbon, climate-resilient future. The framework . received the highest rating (“Dark Green”) from the Center for International . Climate and Environmental Research (CICERO)."
2,1.0,"Executive Summary"
2,0.6785714285714286,"Mercedes-Benz “Ambition 2039”"
2,0.7857142857142857,"2019 2022 2039 2025 end of this decade"
2,0.5714285714285715,"investments in battery electric vehicles . total more than EUR 40 billion"
2,0.25,"Carbon targets that  . support the Paris Climate . Agreement approved by . Science Based Targets  . initiative (SBTi)"
2,0.21428571428571427,"Battery electric vehicles in all  . Mercedes-Benz segments"
2,0.42857142857142855,"All Mercedes-Benz Cars and Vans  .    production plants carbon-neutral. All new Mercedes-Benz. architectures electric-only"
2,0.75,"All-electric alternative for every  . Mercedes-Benz model; aim to increase . plug-in hybrid and BEV share up to 50%. Carbon-neutral new  . passenger car fleet along  . the entire value chain"
2,0.39285714285714285,"Mercedes-Benz goes  . all electric where  . market conditions allow"
2,0.5357142857142857,"Mercedes-Benz Energy  . Storage Factory 56:  . Stationary energy storage incorporating . repurposed electric vehicles batteries"
2,0.8214285714285714,"512 t"
2,0.35714285714285715,"Mercedes-Benz EQS:  . First model to use the new all-electric . platform with optimized environmental . compatibility across the life cycle"
2,0.9285714285714286,"48%"
2,0.4642857142857143,"lower life cycle carbon emissions  lower life cycle carbon emissions"
2,0.10714285714285714,"Note: All figures are per vehicle relative to a comparable internal-combustion model."
2,0.17857142857142858,"lower life cycle carbon emissions"
2,0.5,"Mercedes-Benz EQA: . All-electric compact car vehicle . equipped with various tools to recoup . energy through recuperation"
2,0.8928571428571429,"49%"
2,0.28571428571428575,"Mercedes-Benz EQB:  . First all-electric vehicle  . from our plant in  . Kecskemét, Hungary"
2,0.9642857142857143,"48%"
2,0.8571428571428571,"2 2 2"
2,0.32142857142857145,"energy-related benefit over 10 years"
2,0.7142857142857143,"CO2 emissions reductions1"
2,0.14285714285714288,"3 DAIMLER GREEN FINANCE INVESTOR REPORT 2021"
2,0.07142857142857144,"1CO2-emission values are based on internal life cycle assessment calculations."
2,0.03571428571428572,"2Over 200,000 kilometres."
3,0.33333333333333337,"Dear investors,"
3,0.41666666666666663,"The ongoing decarbonisation of our industry will play a crucial role in tackling  climate . change. Carbon neutrality is therefore our top transformation objective. We  intend . for Mercedes-Benz’s entire fleet of new vehicles to be all-electric by the end of this . decade where market conditions allow. This will go a long way toward enabling us . to meet our climate obligations ten years earlier than required by the Paris  Climate . Agreement (Ambition 2039). Our goal is to make our entire new vehicle fleet carbon- . neutral by 2039 and to ensure that it no longer has any relevant effects on air quality . in inner cities. We plan to achieve this goal by using a holistic approach that includes . ambitious targets for all stages of automotive value creation — from the supply chain . to production, the vehicle use phase, and vehicle disposal and recycling."
3,0.6666666666666667,"Our commitment to all-electric, which is opening a fascinating new chapter in . Mercedes-Benz’s history, is reflected in our capital  allocation. Between 2019 and . 2026, we will reduce our investments in combustion-engine and plug-in hybrid ve-. hicles by 80 percent."
3,0.8333333333333333,"Global sales of electric vehicles continue to boom. New electric-vehicle registrations . in 2020 surpassed the prior-year figure by 43 percent and accounted for  4.2 . percent of total registrations.1 The strongest growth is in Europe, China and . the United States."
3,0.9166666666666667,"The shift to electric mobility is propelled primarily by stricter carbon targets, . the ongoing expansion of charging infrastructure,  government subsidies and . evolving consumer preferences."
3,0.75,"The acceleration of our own shift to electric mobility in the years ahead will . bring about fundamental change across our company. It will also require .  consistently high levels of investment."
3,0.5833333333333334,"We published our Green Finance Framework, which articulates our principles . for using sustainable financing instruments, in the spring of 2020. Our aim . is to tap additional liquidity to fund our transformation, while enabling inves-. tors to invest in our sustainable business strategy and, in particular, in our . all-electric and decarbonisation projects."
3,0.5,"With more and more investors factoring sustainability into their investment . decisions, the demand for green investment instruments is strong. Sales of . green bonds in the first quarter of 2021 were 50 percent higher than in all of . 2020. The Institute of International Finance estimates that global sustainable . debt issuance will surpass USD 1 trillion in 2021.2"
3,1.0,"Foreword"
3,0.25,"4 DAIMLER GREEN FINANCE INVESTOR REPORT 2021"
3,0.16666666666666669,"1 Global sales of BEV and plug-in hybrid electric vehicles (PHEV) in 2020 | auto-motor-und-sport.de."
3,0.08333333333333334,"2 Global sustainable debt issuance will crack $1 trillion mark in 2021 -IIF | Reuters"
4,1.0,"We were delighted by the great demand for our first green bonds. We issued . the first bond of EUR 1 billion in September 2020 and another of EUR 1 billion in . March 2021."
4,0.5,"In line with our Green Finance Framework commitments and our transparency . journey, this first Green Finance Investor Report explains how we are using the . funds from these first two green bonds. In  addition to an in-depth presentation . of our Green Investment Strategy, this  report includes a detailed description of . the financed projects (Allocation Report), as well as additional key figures and . information on their respective  effects on carbon emissions (Impact Report)."
4,0.6666666666666667,"I would like to thank you, our investors, for your trust. We hope that you .  continue to support us on our journey to a carbon-neutral future. Being . a  sustainable company will enable us to continue to offer you attractive .  investment opportunities."
4,0.33333333333333337,"Regards, Harald Wilhelm"
4,0.8333333333333333,"Member of the Board of Management of Daimler AG.  . Finance & Controlling/Daimler Mobility"
4,0.16666666666666669,"DAIMLER GREEN FINANCE INVESTOR REPORT 2021 5"
5,0.6,"A profound transformation across all sectors of the economy is  needed . to achieve climate neutrality. This includes the decarbonisation of .  industry and transport, which will require substantial investments.  . This is true for Daimler’s transition to sustainable mobility as well."
5,0.5,"A key aspect of this transition is to steadily reduce our vehicles’ carbon . emissions along the entire value chain. Green investment instruments .  enable us to align our sustainability strategy with our financing strategy . by giving investors the opportunity to fund projects that accelerate our .  transition to zero-emission mobility."
5,0.4,"Ambition 2039, Mercedes-Benz’s pathway to sustainable mobility, includes . bold yet attainable climate-protection targets. We aim for Mercedes-Benz Cars . and Vans’ new vehicle fleet to be completely carbon-neutral – at all links of . the automotive value chain – by 2039. In addition, we recently  announced that . Mercedes-Benz is preparing to go all-electric by the end of this decade where . market conditions allow. Our shift from electric-first to  electric-only will help . accelerate progress toward a zero-emission,  software-driven future."
5,0.3,"In addition, the amount of investments based on environmental, social and .  governance (ESG) criteria has increased steadily in recent years, as has the . number of institutional investors committed to the UN Principles for Respon-. sible Investment (PRI). This offers us the opportunity to differentiate oursel-. ves in debt and equity markets by means of our sustainable business strategy,"
5,0.9,"ambitious targets and transparent reporting. Beyond capital markets, policy-. makers, communities, and citizens want a more purpose-driven, sustainable . economy. Businesses play a key role in this shift, and stakeholders expect .  companies to direct funding toward business activities that are also good for . people and the planet."
5,0.8,"Daimler issued a  Green Finance Framework in 2020. Its purposes are to .  sharpen our profile as a sustainable investment in the fixed income market . and  enable us to tap sustainable financing that will help us achieve our ambi-. tions. The framework articulates the principles according to which Daimler will . use green financing instruments. It was assessed by CICERO Shades of Green, . a subsidiary of the Oslo-based Center for International Climate and Environ-. mental Research (CICERO) in June 2020. CICERO awarded Daimler’s framework . its highest rating (“Dark Green”) and deemed the framework’s governance .  procedures to be “Excellent.”"
5,0.7,"The framework’s structure, which was developed in consultation with  Swedish . bank SEB, is consistent with the 2018 editions of both the ICMA Green Bond . Principles (GBP) and the LMA and APLMA Green Loan Principles (GLP).1 . Daimler’s green bonds and green loans strive to reflect best practices in line . with evolving market standards and the entry into force of the European Union . (EU) classification of environmentally sound economic activities (taxonomy) . and the EU Green Bond Standard."
5,1.0,"We Invest in Transformation"
5,0.1,"1 The Daimler Green Finance Framework is also in line with the updated version of the ICMA Green Bond Principles published in 2021."
5,0.2,"DAIMLER GREEN FINANCE INVESTOR REPORT 2021 6"
6,1.0,"The framework conditions apply to a wide range of debt instruments, including . green bonds, green Schuldscheine (a debt instrument specific to the German . market), green commercial paper and green loans. The proceeds will be used . exclusively to finance projects that directly contribute toward a low-carbon and . climate-resilient society."
