page,priority,content
0,1.0,"CREATING . VALUE"
0,0.5,"2019 SUSTAINABILITY REPORT"
2,1.0,"TALKING ABOUT SUSTAINABILITY . MEANS FOR US TALKING  . ABOUT OUR VALUES. .  . BEING RESPECTFUL,  . BEING RESPONSIBLE, . CREATING VALUE."
3,1.0,"TABLE OF  . CONTENTS"
4,0.7142857142857143,"LETTER FROM THE CHAIRMAN. LETTER FROM THE CEO. 2019 OUR SUSTAINABILITY EVENTS. IN EVIDENCE. GROUP HIGHLIGHTS 2019"
4,0.33333333333333337,"SUSTAINABILITY PERFORMANCE .....................................................................................................................................................100. METHODOLOGY, CRITERIA AND REPORTING PRINCIPLES ..................................................................................... 114. GRI AND UN GLOBAL COMPACT CONTENT INDEX ..........................................................................................................118. INDEPENDENT AUDITOR’S REPORT  . ON THE CONSOLIDATED NON-FINANCIAL STATEMENT ..........................................................................................126"
4,0.6666666666666667,"APPENDIX"
4,0.5238095238095238,"OUR CORPORATE IDENTITY"
4,0.38095238095238093,"1.1  GROUP ECONOMIC, FINANCIAL AND BALANCE SHEET PERFORMANCE ................................................12. 1.2  INVESTOR INFORMATION  .............................................................................................................................................................................13. 1.3  OUR THREE SOULS: WHO WE ARE, WHAT WE DO ...........................................................................................................14. 1.4  MARKET LEADERSHIP  .......................................................................................................................................................................................15. 1.5  PARTNERSHIP FOR DEVELOPMENT  ..................................................................................................................................................16. 1"
4,0.28571428571428575,"2.1  SUSTAINABILITY CONTEXT ........................................................................................................................................................................ 20. 2.2  GROUP COMMITMENT TO THE SDGs AND THE UN GLOBAL COMPACT ....................................................22. 2.3  SUSTAINABILITY STRATEGY .......................................................................................................................................................................24. 2.4  STAKEHOLDER ENGAGEMENT .................................................................................................................................................................27. 2.5  MATERIALITY ANALYSIS.................................................................................................................................................................................30. 2.6  ESG AGENDA: COMMITMENT, RESULTS, OBJECTIVES  .................................................................................................32. 2.7  MANAGING RISKS AND OPPORTUNITIES .....................................................................................................................................34"
4,0.42857142857142855,"SUSTAINABILITY AT MAIRE TECNIMONT"
4,0.8571428571428571,"2"
